index,cpd_id,action,variable,value,note,comment,reference,phase,date
30,m90161,add,chebi_id,CHEBI:60015,"2,3-dehydroacyl-CoA",,,adding new reactions from GO:MF,1/30/15
31,m90162,add,chebi_id,CHEBI:9833,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine,,,adding new reactions from GO:MF,1/30/15
32,m90108,replace,cpd_name,heparan sulfate 2-O-sulfate,heparan sulfate 2-O-sulfate,,,adding new reactions from GO:MF,1/30/15
33,m90109,replace,cpd_name,donor-H2,donor-H2,,,adding new reactions from GO:MF,1/30/15
34,m90110,replace,cpd_name,6-alpha-hydroxytestosterone,6-alpha-hydroxytestosterone,,,adding new reactions from GO:MF,1/30/15
35,m90111,replace,cpd_name,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate","UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate",,,adding new reactions from GO:MF,1/30/15
36,m90112,replace,cpd_name,(cytochrome c)-arginine,(cytochrome c)-arginine,,,adding new reactions from GO:MF,1/30/15
37,m90113,replace,cpd_name,(cytochrome c)-N(omega)-methyl-arginine,(cytochrome c)-N(omega)-methyl-arginine,,,adding new reactions from GO:MF,1/30/15
38,m90114,replace,cpd_name,1-alkyl-2-acetyl-sn-glycero-3-phosphocholine,1-alkyl-2-acetyl-sn-glycero-3-phosphocholine,,,adding new reactions from GO:MF,1/30/15
39,m90115,replace,cpd_name,1-alkyl-2-lyso-sn-glycero-3-phosphocholine,1-alkyl-2-lyso-sn-glycero-3-phosphocholine,,,adding new reactions from GO:MF,1/30/15
40,m90116,replace,cpd_name,1-radyl-2-acetyl-sn-glycero-3-phospholipid,1-radyl-2-acetyl-sn-glycero-3-phospholipid,,,adding new reactions from GO:MF,1/30/15
41,m90117,replace,cpd_name,1-radyl-2-acyl-sn-glycero-3-phospholipid,1-radyl-2-acyl-sn-glycero-3-phospholipid,,,adding new reactions from GO:MF,1/30/15
42,m90118,replace,cpd_name,"2,3-epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone","2,3-epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone",,,adding new reactions from GO:MF,1/30/15
43,m90119,replace,cpd_name,"3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone","3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone",,,adding new reactions from GO:MF,1/30/15
44,m90120,replace,cpd_name,a 2-beta-hydroxygibberellin,a 2-beta-hydroxygibberellin,,,adding new reactions from GO:MF,1/30/15
45,m90121,replace,cpd_name,a 3-oxo-5-beta-steroid,a 3-oxo-5-beta-steroid,,,adding new reactions from GO:MF,1/30/15
46,m90122,replace,cpd_name,a 3-oxo-D4-steroid,a 3-oxo-D4-steroid,,,adding new reactions from GO:MF,1/30/15
47,m90123,replace,cpd_name,a C-19 2-beta-hydroxygibberellin,a C-19 2-beta-hydroxygibberellin,,,adding new reactions from GO:MF,1/30/15
48,m90124,replace,cpd_name,a C-19 gibberellin,a C-19 gibberellin,,,adding new reactions from GO:MF,1/30/15
49,m90125,replace,cpd_name,a C-20 2-beta-hydroxygibberellin,a C-20 2-beta-hydroxygibberellin,,,adding new reactions from GO:MF,1/30/15
50,m90126,replace,cpd_name,a C-20 gibberellin,a C-20 gibberellin,,,adding new reactions from GO:MF,1/30/15
51,m90127,replace,cpd_name,a fatty acid,a fatty acid,,,adding new reactions from GO:MF,1/30/15
52,m90128,replace,cpd_name,a gibberellin,a gibberellin,,,adding new reactions from GO:MF,1/30/15
53,m90129,replace,cpd_name,a long-chain-acyl ethyl ester,a long-chain-acyl ethyl ester,,,adding new reactions from GO:MF,1/30/15
54,m90130,replace,cpd_name,"alpha-D-galactosyl-(1,3)-beta-D-galactosyl-(1,4)-beta-N-acetyl-D-glucosaminyl-R","alpha-D-galactosyl-(1,3)-beta-D-galactosyl-(1,4)-beta-N-acetyl-D-glucosaminyl-R",,,adding new reactions from GO:MF,1/30/15
55,m90131,replace,cpd_name,coenzyme F420-2,coenzyme F420-2,,,adding new reactions from GO:MF,1/30/15
56,m90132,replace,cpd_name,coenzyme F420-3,coenzyme F420-3,,,adding new reactions from GO:MF,1/30/15
57,m90133,replace,cpd_name,gamma-F420-2,gamma-F420-2,,,adding new reactions from GO:MF,1/30/15
58,m00099,add,kegg_alt,C02944,,,,updating KEGG annotations,2/9/15
59,m00185,add,kegg_alt,C00012,,,,updating KEGG annotations,2/9/15
60,m00767,add,kegg_alt,C03885,,,,updating KEGG annotations,2/9/15
61,m01271,add,kegg_alt,C00040,pool,,,updating KEGG annotations,2/9/15
62,m01272,add,kegg_alt,C00040,pool,,,updating KEGG annotations,2/9/15
63,m01276,add,kegg_alt,C00040,,,,updating KEGG annotations,2/9/15
64,m01356,add,kegg_alt,C06249,,,,updating KEGG annotations,2/9/15
65,m01426,add,kegg_alt,C00269,pool,,,updating KEGG annotations,2/9/15
66,m01438,add,kegg_alt,C01674,C00461 matches cpd_composition,,,updating KEGG annotations,2/9/15
67,m01589,add,kegg_alt,C05980,pool,,,updating KEGG annotations,2/9/15
68,m02082,add,kegg_alt,C04196,,,,updating KEGG annotations,2/9/15
69,m02083,add,kegg_alt,C04073,,,,updating KEGG annotations,2/9/15
70,m02715,add,kegg_alt,C00344,pool,,,updating KEGG annotations,2/9/15
71,m02936,add,kegg_alt,C00369,,,,updating KEGG annotations,2/9/15
72,m02937,add,kegg_alt,C00369,,,,updating KEGG annotations,2/9/15
73,m03026,add,kegg_alt,C00448,,,,updating KEGG annotations,2/9/15
74,m00005,replace,kegg_id,C14820,,,,updating KEGG annotations,2/9/15
75,m00007,replace,kegg_id,C16530,,,,updating KEGG annotations,2/9/15
76,m00099,replace,kegg_id,,not exact,,,updating KEGG annotations,2/9/15
77,m00267,replace,kegg_id,C05928,,,,updating KEGG annotations,2/9/15
78,m00276,replace,kegg_id,C14782,,,,updating KEGG annotations,2/9/15
79,m00277,replace,kegg_id,C14774,,,,updating KEGG annotations,2/9/15
80,m00280,replace,kegg_id,C14814,,,,updating KEGG annotations,2/9/15
81,m00293,replace,kegg_id,C05964,,,,updating KEGG annotations,2/9/15
82,m00296,replace,kegg_id,C14813,,,,updating KEGG annotations,2/9/15
83,m00298,replace,kegg_id,C07338,,,,updating KEGG annotations,2/9/15
84,m00306,replace,kegg_id,C14812,,,,updating KEGG annotations,2/9/15
85,m00326,replace,kegg_id,C05949,,,,updating KEGG annotations,2/9/15
86,m00364,replace,kegg_id,C14775,,,,updating KEGG annotations,2/9/15
87,m00365,replace,kegg_id,C14813,,,,updating KEGG annotations,2/9/15
88,m00377,replace,kegg_id,C04742,,,,updating KEGG annotations,2/9/15
89,m00381,replace,kegg_id,C04758,,,,updating KEGG annotations,2/9/15
90,m00383,replace,kegg_id,C14717,,,,updating KEGG annotations,2/9/15
91,m00385,replace,kegg_id,C14717,,,,updating KEGG annotations,2/9/15
92,m00390,replace,kegg_id,C14781,,,,updating KEGG annotations,2/9/15
93,m00392,replace,kegg_id,C00639,,,,updating KEGG annotations,2/9/15
94,m00393,replace,kegg_id,C04577,,,,updating KEGG annotations,2/9/15
95,m00396,replace,kegg_id,C14778,,,,updating KEGG annotations,2/9/15
96,m00403,replace,kegg_id,C18218,,,,updating KEGG annotations,2/9/15
97,m00430,replace,kegg_id,C14749,,,,updating KEGG annotations,2/9/15
98,m00517,replace,kegg_id,C03715,,,,updating KEGG annotations,2/9/15
99,m00588,replace,kegg_id,C04853,,,,updating KEGG annotations,2/9/15
100,m00610,replace,kegg_id,C13550,,,,updating KEGG annotations,2/9/15
101,m00625,replace,kegg_id,C15610,,,,updating KEGG annotations,2/9/15
102,m00644,replace,kegg_id,C05302,,,,updating KEGG annotations,2/9/15
103,m00645,replace,kegg_id,C05299,,,,updating KEGG annotations,2/9/15
104,m00761,replace,kegg_id,C15610,,,,updating KEGG annotations,2/9/15
105,m00793,replace,kegg_id,C16217,,,,updating KEGG annotations,2/9/15
106,m00793,replace,kegg_id,C16217,,,,updating KEGG annotations,2/9/15
107,m00814,replace,kegg_id,C16376,,,,updating KEGG annotations,2/9/15
108,m00853,replace,kegg_id,C16389,,,,updating KEGG annotations,2/9/15
109,m00899,replace,kegg_id,C03344,,,,updating KEGG annotations,2/9/15
110,m00937,replace,kegg_id,C11455,,,,updating KEGG annotations,2/9/15
111,m00961,replace,kegg_id,C15808,,,,updating KEGG annotations,2/9/15
112,m00986,replace,kegg_id,C14209,,,,updating KEGG annotations,2/9/15
113,m00993,replace,kegg_id,C16677,,,,updating KEGG annotations,2/9/15
114,m01006,replace,kegg_id,C16677,,,,updating KEGG annotations,2/9/15
115,m01051,replace,kegg_id,C14772,,,,updating KEGG annotations,2/9/15
116,m01058,replace,kegg_id,C14815,,,,updating KEGG annotations,2/9/15
117,m01065,replace,kegg_id,C12525,,,,updating KEGG annotations,2/9/15
118,m01075,replace,kegg_id,C20252,,,,updating KEGG annotations,2/9/15
119,m01092,replace,kegg_id,C05446,,,,updating KEGG annotations,2/9/15
120,m01168,replace,kegg_id,C01312,,,,updating KEGG annotations,2/9/15
121,m01179,replace,kegg_id,C17332,,,,updating KEGG annotations,2/9/15
122,m01208,replace,kegg_id,C14773,,,,updating KEGG annotations,2/9/15
123,m01220,replace,kegg_id,C14828,,,,updating KEGG annotations,2/9/15
124,m01230,replace,kegg_id,C16681,,,,updating KEGG annotations,2/9/15
125,m01250,replace,kegg_id,C18170,,,,updating KEGG annotations,2/9/15
126,m01269,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
127,m01270,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
128,m01270,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
129,m01271,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
130,m01272,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
131,m01273,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
132,m01274,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
133,m01275,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
134,m01276,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
135,m01277,replace,kegg_id,C00040,,,,updating KEGG annotations,2/9/15
136,m01350,replace,kegg_id,C16240,,,,updating KEGG annotations,2/9/15
137,m01426,replace,kegg_id,C00269,,,,updating KEGG annotations,2/9/15
138,m01427,replace,kegg_id,C00269,,,,updating KEGG annotations,2/9/15
139,m01431,replace,kegg_id,C02960,,,,updating KEGG annotations,2/9/15
140,m01438,replace,kegg_id,C00461,C00461 matches cpd_composition,,,updating KEGG annotations,2/9/15
141,m01568,replace,kegg_id,G00158,,,,updating KEGG annotations,2/9/15
142,m01614,replace,kegg_id,C02140,,,,updating KEGG annotations,2/9/15
143,m01661,replace,kegg_id,C15853,,,,updating KEGG annotations,2/9/15
144,m01662,replace,kegg_id,C05958,,,,updating KEGG annotations,2/9/15
145,m01662,replace,kegg_id,C05958,,,,updating KEGG annotations,2/9/15
146,m01699,replace,kegg_id,C12126,,,,updating KEGG annotations,2/9/15
147,m01760,replace,kegg_id,C06441,,,,updating KEGG annotations,2/9/15
148,m01795,replace,kegg_id,C11133,,,,updating KEGG annotations,2/9/15
149,m01807,replace,kegg_id,C00162,R02250,,,updating KEGG annotations,2/9/15
150,m01807,replace,kegg_id,C00162,,,,updating KEGG annotations,2/9/15
151,m01964,replace,kegg_id,G00145,,,,updating KEGG annotations,2/9/15
152,m01995,replace,kegg_id,C02687,,,,updating KEGG annotations,2/9/15
153,m02081,replace,kegg_id,G00162,,,,updating KEGG annotations,2/9/15
154,m02156,replace,kegg_id,C19697,,,,updating KEGG annotations,2/9/15
155,m02443,replace,kegg_id,C02990,,,,updating KEGG annotations,2/9/15
156,m02526,replace,kegg_id,C18060,,,,updating KEGG annotations,2/9/15
157,m02677,replace,kegg_id,C00154,,,,updating KEGG annotations,2/9/15
158,m02692,replace,kegg_id,C03541,,,,updating KEGG annotations,2/9/15
159,m02697,replace,kegg_id,C00350,,,,updating KEGG annotations,2/9/15
160,m02735,replace,kegg_id,C11556,,,,updating KEGG annotations,2/9/15
161,m02760,replace,kegg_id,C00410,,,,updating KEGG annotations,2/9/15
162,m02761,replace,kegg_id,C01176,,,,updating KEGG annotations,2/9/15
163,m02823,replace,kegg_id,C00268,,,,updating KEGG annotations,2/9/15
164,m02837,replace,kegg_id,C02588,,,,updating KEGG annotations,2/9/15
165,m02981,replace,kegg_id,C03541,,,,updating KEGG annotations,2/9/15
166,m03000,replace,kegg_id,G00023,multiple generic removed,,,updating KEGG annotations,2/9/15
167,m03056,replace,kegg_id,C14811,,,,updating KEGG annotations,2/9/15
168,m01899,replace,cpd_name,(Glc)1 (GlcNAc)2 (Man)9 (PP-Dol)1,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
169,m02507,replace,cpd_name,(GlcNAc)4 (Man)3 (Asn)1,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
170,m02510,replace,cpd_name,(GlcNAc)5 (Man)3 (Asn)1,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
171,m00002,add,kegg_alt,C09880,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
172,m00559,add,kegg_alt,C03912,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
173,m00614,add,kegg_alt,C04644,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
174,m00616,add,kegg_alt,C05448,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
175,m00618,add,kegg_alt,C05448,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
176,m00784,add,kegg_alt,C01188,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
177,m00785,add,kegg_alt,C04047,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
178,m00913,add,kegg_alt,C00597,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
179,m01107,add,kegg_alt,C01017,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
180,m01685,add,kegg_alt,C06430,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
181,m01698,add,kegg_alt,C00268,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
182,m01778,add,kegg_alt,C00712,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
183,m01840,add,kegg_alt,C00095,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
184,m01910,add,kegg_alt,C00124,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
185,m01939,add,kegg_alt,C00118,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
186,m01981,add,kegg_alt,C00577,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
187,m02039,add,kegg_alt,C00282,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
188,m02348,add,kegg_alt,C15025,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
189,m02386,add,kegg_alt,C00506,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
190,m02394,add,kegg_alt,C00725,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
191,m02525,add,kegg_alt,C01074,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
192,m02543,add,kegg_alt,C00270,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
193,m02579,add,kegg_alt,C00014,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
194,m02845,add,kegg_alt,C00117,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
195,m02991,add,kegg_alt,C00320,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
196,m00173,replace,kegg_id,C01144,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
197,m00531,replace,kegg_id,C18058,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
198,m00614,replace,kegg_id,C17345,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
199,m00616,replace,kegg_id,C15613,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
200,m00618,replace,kegg_id,C17343,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
201,m00913,replace,kegg_id,C00197,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
202,m01107,replace,kegg_id,C00643,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
203,m01183,replace,kegg_id,C03594,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
204,m01568,replace,kegg_id,G00158,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
205,m01655,replace,kegg_id,C05422,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
206,m01748,replace,kegg_id,C00688,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
207,m01778,replace,kegg_id,C01712,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
208,m01899,replace,kegg_id,G10598,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
209,m01921,replace,kegg_id,G00155,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
210,m02039,replace,kegg_id,C00080,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
211,m02348,replace,kegg_id,C00318,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
212,m02350,replace,kegg_id,C00506,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
213,m02507,replace,kegg_id,G00015,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
214,m02510,replace,kegg_id,G00019,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
215,m02579,replace,kegg_id,C01342,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
216,m02768,replace,kegg_id,C16740,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
217,m03000,replace,kegg_id,G00023,recon2 crossref,similar compounds were identified within recon 2 that were annotated with KEGG ids,,updating KEGG annotations,2/10/15
218,m00017,add,kegg_alt,C02064,,,,updating KEGG annotations,2/10/15
219,m00019,add,kegg_alt,C01712,,,,updating KEGG annotations,2/10/15
220,m00019,add,kegg_alt,C08363,,,,updating KEGG annotations,2/10/15
221,m00020,add,kegg_alt,C00510,,,,updating KEGG annotations,2/10/15
222,m00020,add,kegg_alt,C16218,,,,updating KEGG annotations,2/10/15
223,m00048,add,kegg_alt,C09823,,,,updating KEGG annotations,2/10/15
224,m00048,add,kegg_alt,C11949,,,,updating KEGG annotations,2/10/15
225,m00063,add,kegg_alt,C02451,,,,updating KEGG annotations,2/10/15
226,m00064,add,kegg_alt,C16532,,,,updating KEGG annotations,2/10/15
227,m00077,add,kegg_alt,C16535,,,,updating KEGG annotations,2/10/15
228,m00077,add,kegg_alt,C16794,,,,updating KEGG annotations,2/10/15
229,m00079,add,kegg_alt,C05273,,,,updating KEGG annotations,2/10/15
230,m00080,add,kegg_alt,C02593,,,,updating KEGG annotations,2/10/15
231,m00082,add,kegg_alt,C05263,,,,updating KEGG annotations,2/10/15
232,m00098,add,kegg_alt,C05949,,,,updating KEGG annotations,2/10/15
233,m00099,add,kegg_alt,C02944,,,,updating KEGG annotations,2/10/15
234,m00099,add,kegg_alt,C03221,,,,updating KEGG annotations,2/10/15
235,m00104,add,kegg_alt,C01595,,,,updating KEGG annotations,2/10/15
236,m00107,add,kegg_alt,C12157,,,,updating KEGG annotations,2/10/15
237,m00114,add,kegg_alt,C16185,,,,updating KEGG annotations,2/10/15
238,m00115,add,kegg_alt,C01712,,,,updating KEGG annotations,2/10/15
239,m00116,add,kegg_alt,C00510,,,,updating KEGG annotations,2/10/15
240,m00116,add,kegg_alt,C16218,,,,updating KEGG annotations,2/10/15
241,m00118,add,kegg_alt,C06736,,,,updating KEGG annotations,2/10/15
242,m00127,add,kegg_alt,C00510,,,,updating KEGG annotations,2/10/15
243,m00127,add,kegg_alt,C16218,,,,updating KEGG annotations,2/10/15
244,m00128,add,kegg_alt,C08322,,,,updating KEGG annotations,2/10/15
245,m00129,add,kegg_alt,C06736,,,,updating KEGG annotations,2/10/15
246,m00230,add,kegg_alt,C10656,,,,updating KEGG annotations,2/10/15
247,m00252,add,kegg_alt,C09205,,,,updating KEGG annotations,2/10/15
248,m00256,add,kegg_alt,C11990,,,,updating KEGG annotations,2/10/15
249,m00257,add,kegg_alt,C09205,,,,updating KEGG annotations,2/10/15
250,m00265,add,kegg_alt,C16534,,,,updating KEGG annotations,2/10/15
251,m00270,add,kegg_alt,C14749,,,,updating KEGG annotations,2/10/15
252,m00270,add,kegg_alt,C14768,,,,updating KEGG annotations,2/10/15
253,m00271,add,kegg_alt,C09115,,,,updating KEGG annotations,2/10/15
254,m00272,add,kegg_alt,C18178,,,,updating KEGG annotations,2/10/15
255,m00272,add,kegg_alt,C18179,,,,updating KEGG annotations,2/10/15
256,m00281,add,kegg_alt,C05956,,,,updating KEGG annotations,2/10/15
257,m00281,add,kegg_alt,C05962,,,,updating KEGG annotations,2/10/15
258,m00282,add,kegg_alt,C04741,,,,updating KEGG annotations,2/10/15
259,m00289,add,kegg_alt,C15280,,,,updating KEGG annotations,2/10/15
260,m00297,add,kegg_alt,C14749,,,,updating KEGG annotations,2/10/15
261,m00297,add,kegg_alt,C14768,,,,updating KEGG annotations,2/10/15
262,m00299,add,kegg_alt,C09115,,,,updating KEGG annotations,2/10/15
263,m00314,add,kegg_alt,C19620,,,,updating KEGG annotations,2/10/15
264,m00315,add,kegg_alt,C19642,,,,updating KEGG annotations,2/10/15
265,m00320,add,kegg_alt,C04853,,,,updating KEGG annotations,2/10/15
266,m00321,add,kegg_alt,C14970,,,,updating KEGG annotations,2/10/15
267,m00321,add,kegg_alt,C15285,,,,updating KEGG annotations,2/10/15
268,m00322,add,kegg_alt,C03641,,,,updating KEGG annotations,2/10/15
269,m00329,add,kegg_alt,C06095,,,,updating KEGG annotations,2/10/15
270,m00329,add,kegg_alt,C09155,,,,updating KEGG annotations,2/10/15
271,m00330,add,kegg_alt,C05950,,,,updating KEGG annotations,2/10/15
272,m00330,add,kegg_alt,C08758,,,,updating KEGG annotations,2/10/15
273,m00332,add,kegg_alt,C17641,,,,updating KEGG annotations,2/10/15
274,m00332,add,kegg_alt,C17645,,,,updating KEGG annotations,2/10/15
275,m00338,add,kegg_alt,C01312,,,,updating KEGG annotations,2/10/15
276,m00339,add,kegg_alt,C00427,,,,updating KEGG annotations,2/10/15
